"driver_mut" "ProjectName" "sample" "CLASS" "indel_n"
"236" "CTR" NA "a315b798-f037-48d5-91ed-e733e3bbd6ee" "MMEJ" 42
"237" "CTR" NA "a8041e86-071e-46cd-8fb5-7ecdc1ab0553" "cNHEJ" 8
"238" "CTR" NA "a8041e86-071e-46cd-8fb5-7ecdc1ab0553" "MMEJ" 20
"239" "CTR" NA "b86e88e7-0d5f-4b32-a35f-dc97251ab990" "cNHEJ" 6
"240" "CTR" NA "b86e88e7-0d5f-4b32-a35f-dc97251ab990" "MMEJ" 12
"241" "CTR" NA "c2124bb2-30e1-4093-9a8a-3a188a6dc0a9" "cNHEJ" 18
"242" "CTR" NA "c2124bb2-30e1-4093-9a8a-3a188a6dc0a9" "MMEJ" 36
"243" "CTR" NA "c76f7fcc-2748-4b6d-805e-d21652dd5e3a" "cNHEJ" 29
"244" "CTR" NA "c76f7fcc-2748-4b6d-805e-d21652dd5e3a" "MMEJ" 94
"245" "CTR" NA "d3709eea-ca2a-49ac-b79c-871a5473d450" "cNHEJ" 17
"246" "CTR" NA "d3709eea-ca2a-49ac-b79c-871a5473d450" "MMEJ" 38
"247" "CTR" NA "dd67dec6-35dd-4efe-b913-ed4884855365" "cNHEJ" 5
"248" "CTR" NA "dd67dec6-35dd-4efe-b913-ed4884855365" "MMEJ" 17
"249" "CTR" NA "e2b5c926-491d-430d-8d9c-5c73d7752d1b" "cNHEJ" 17
"250" "CTR" NA "e2b5c926-491d-430d-8d9c-5c73d7752d1b" "MMEJ" 40
"251" "EGFR" "BLCA-US" "418a3dec-96ff-4719-becb-e1a8260cce2f" "cNHEJ" 245
"252" "EGFR" "BLCA-US" "418a3dec-96ff-4719-becb-e1a8260cce2f" "MMEJ" 239
"253" "EGFR" "BLCA-US" "448fe471-3f4e-4dc8-a4e0-6f147dc93abe" "cNHEJ" 30
"254" "EGFR" "BLCA-US" "448fe471-3f4e-4dc8-a4e0-6f147dc93abe" "MMEJ" 26
"255" "EGFR" "BLCA-US" "b73523d7-f5a5-4140-8537-4df4d1ecf465" "cNHEJ" 95
"256" "EGFR" "BLCA-US" "b73523d7-f5a5-4140-8537-4df4d1ecf465" "MMEJ" 115
"257" "EGFR" "ESAD-UK" "0250e6f7-2538-4d1f-a8ff-ca34a7057dde" "cNHEJ" 15
"258" "EGFR" "ESAD-UK" "0250e6f7-2538-4d1f-a8ff-ca34a7057dde" "MMEJ" 69
"259" "EGFR" "ESAD-UK" "0ef92ff8-829f-425a-91d8-c594b6e22a2b" "cNHEJ" 12
"260" "EGFR" "ESAD-UK" "0ef92ff8-829f-425a-91d8-c594b6e22a2b" "MMEJ" 34
